Métier,Bloc,Statut,Niveau_MIN,Background_min,Localisation,Situation,Relation_vivant,Type_activite,Competences_cles,Poids_Q1,Poids_Q2,Poids_Q3,Poids_Q4,Poids_Q5,Poids_Q6,Poids_Q7,Poids_Q8
Chargé·e de projet agroécologie & AU,Production agricole,Émergent,6,Master,Flexible,Capital,Management,Piloter,Transition écologique - impact systémique - coordination,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Conseiller·ère technique agroécologie,Production agricole,Émergent,5,BTSA,Flexible,Terrain,Plantes,Former,Expertise technique - autonomie des agriculteurs - innovation,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Responsable logistique céréales / chef de silo,Production agricole,Émergent,5,BTSA,Campagne,Capital,Tech,Piloter,Souveraineté alimentaire - responsabilité - organisation,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Chargé·e de parcours volontariat agricole,Production agricole,Émergent,5,BTSA,Urbain,Zéro,Plantes,Former,Communauté - accueil - apprentissage - inclusion,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Ouvrier agricole,Production agricole,Tension,3,CAP,Campagne,Terrain,Plantes/Animaux,Produire,Autonomie - relation au vivant - stabilité financière,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Maraîcher / maraîcher bio,Production agricole,Tension,3,CAP,Campagne/Flexible,Terrain/Capital,Plantes,Produire,Autonomie - circuits courts - impact local - santé,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Éleveur,Production agricole,Tension,3,CAP,Campagne,Terrain/Capital,Animaux,Produire,Relation aux animaux - autonomie - pénibilité acceptée,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Technicien agricole,Production agricole,Tension,5,BTSA,Campagne,Terrain,Plantes/Tech,Piloter,Expertise technique - coopération - stabilité,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Technicien agroécologie,Production agricole,Émergent,5,BTSA,Campagne/Flexible,Terrain,Plantes,Piloter,Transition écologique - expertise - autonomie,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Technicien agriculture de précision,Production agricole,Émergent,5,BTSA,Campagne,Capital,Tech,Piloter,Innovation - technologie - efficacité - durabilité,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Chef de culture,Production agricole,Tension,4,BTSA,Campagne,Capital,Plantes,Piloter,Leadership - responsabilité - organisation - rendement,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Responsable d'exploitation agricole,Production agricole,Émergent,4,BTSA,Campagne,Capital,Plantes/Tech,Piloter,Autonomie - responsabilité - business - transition,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Tractoriste / conducteur d'engins,Production agricole,Tension,3,CAP,Campagne,Terrain,Tech,Produire,Compétence technique - autonomie - stabilité,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Agriculteur urbain / fermier urbain,Production agricole,Autre,3,CAP,Urbain,Zéro/Capital,Plantes,Produire,Autonomie - innovation - communauté - impact local,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Animateur agriculture urbaine,Production agricole,Émergent,4,BTSA,Urbain,Zéro,Plantes,Former,Communauté - pédagogie - inclusion - transformation sociale,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Responsable tiers-lieu agricole,Production agricole,Émergent,5,BTSA,Urbain/Flexible,Capital,Management/Plantes,Piloter,Innovation - communauté - leadership - impact territorial,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Responsable transition durable IAA,Transformation agroalimentaire,Émergent,6,Master,Flexible,Capital,Management,Piloter,Transition écologique - innovation - responsabilité - impact systémique,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Opérateur de production agroalimentaire,Transformation agroalimentaire,Tension,3,CAP,Flexible,Zéro,Tech,Produire,Stabilité - compétence technique - qualité,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Conducteur de ligne,Transformation agroalimentaire,Tension,4,BTSA,Flexible,Zéro,Tech,Produire,Responsabilité - qualité - stabilité - rigueur,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Maintenance industrielle agro,Transformation agroalimentaire,Tension,5,BTSA,Flexible,Capital,Tech,Piloter,Expertise technique - responsabilité - stabilité,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Data analyst agro/agri,Transformation agroalimentaire,Émergent,6,Master,Flexible,Capital,Tech,Analyser,Innovation - impact données - autonomie - stratégie,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Technicien agroalimentaire,Transformation agroalimentaire,Tension,5,BTSA,Flexible,Capital,Tech/Plantes,Piloter,Expertise technique - qualité - innovation,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Responsable qualité / QHSE,Transformation agroalimentaire,Tension,5,BTSA,Flexible,Capital,Tech,Analyser,Responsabilité - excellence - conformité - impact,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Responsable production agroalimentaire,Transformation agroalimentaire,Tension,6,Master,Flexible,Capital,Management,Piloter,Leadership - responsabilité - innovation - excellence,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Responsable décarbonation site,Transformation agroalimentaire,Émergent,6,Master,Flexible,Capital,Tech,Piloter,Urgence climatique - innovation - leadership - impact,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Responsable sécurité alimentaire,Transformation agroalimentaire,Tension,5,BTSA,Flexible,Capital,Tech,Analyser,Responsabilité - rigueur - excellence - santé publique,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Chargé ACV,Transformation agroalimentaire,Émergent,6,Master,Flexible,Capital,Tech,Analyser,Impact environnemental - rigueur - innovation - stratégie,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Ingénieur agroalimentaire,Transformation agroalimentaire,Autre,7,Master,Flexible,Capital,Tech,Piloter,Innovation - excellence - responsabilité - leadership,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Responsable atelier transformation local,Transformation agroalimentaire,Autre,4,BTSA,Urbain/Campagne,Capital,Plantes/Tech,Transformer,Autonomie - relocalisation - innovation - impact local,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Responsable RSE agroalimentaire,Transformation agroalimentaire,Émergent,6,Master,Flexible,Capital,Management,Piloter,Transition écologique - impact social - leadership,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Chef·fe de projet circuits courts,Logistique distribution,Émergent,6,Master,Urbain/Flexible,Capital,Management,Piloter,Stratégie - coordination - impact local - résilience,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Logisticien / agent logistique,Logistique distribution,Tension,3,CAP,Flexible,Zéro,Tech,Produire,Compétence technique - stabilité - organisation,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Préparateur de commandes,Logistique distribution,Tension,3,CAP,Flexible,Zéro,Tech,Produire,Compétence - stabilité - organisation,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Logisticien (bac+2),Logistique distribution,Tension,4,BTSA,Flexible,Capital,Tech,Piloter,Leadership - organisation - responsabilité,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Chauffeur / livreur,Logistique distribution,Tension,3,CAP,Flexible,Zéro,Tech,Produire,Autonomie - fiabilité - relation client,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
