Metier,Bloc,Poids_Q1,Poids_Q2,Poids_Q3,Poids_Q4,Poids_Q5,Poids_Q6,Poids_Q7,Poids_Q8,Competences,Niveau,Secteur,Type_metier,Penurie,Evolution
Chargé·e de projet agroécologie & AU,Production agricole,0.55,0.8,0.85,0.85,0.3,0.35,0.4,0.8,"Transition écologique, impact systémique, coordination",Licence,Chef de projet agroécologie,Piloter,Normal,Émergent
Conseiller·ère technique agroécologie,Production agricole,0.6,0.65,0.85,0.88,0.25,0.65,0.65,0.8,"Expertise technique, autonomie des agriculteurs, innovation",BTS/BTSA,Conseiller agroécologie,Former,Normal,Émergent
Responsable logistique céréales / chef de silo,Production agricole,0.55,0.65,0.65,0.85,0.3,0.65,0.4,0.8,"Souveraineté alimentaire, responsabilité, organisation",BTS/BTSA,Manager logistique agricole,Piloter,Normal,Émergent
Chargé·e de parcours volontariat agricole,Production agricole,0.6,0.65,0.7,0.88,0.25,0.65,0.9,0.8,"Communauté, accueil, apprentissage",BTS/BTSA,Animateur agriculture,Former,Normal,Émergent
Ouvrier agricole,Production agricole,0.85,0.45,0.65,0.95,0.7,0.85,0.65,0.95,"Autonomie, relation au vivant, stabilité financière",CAP/BEP,Producteur agricole,Produire,En tension,Traditionnel
Maraîcher / maraîcher bio,Production agricole,0.85,0.45,0.85,0.95,0.7,0.85,0.52,0.95,"Autonomie, circuits courts, impact local",CAP/BEP,Producteur légumes,Produire,En tension,Traditionnel
Éleveur,Production agricole,0.85,0.45,0.65,0.95,0.7,0.85,0.52,0.95,"Relation aux animaux, autonomie, pénibilité acceptée",CAP/BEP,Producteur animal,Produire,En tension,Traditionnel
Technicien agricole,Production agricole,0.55,0.65,0.65,0.85,0.3,0.65,0.65,0.8,"Expertise technique, coopération, stabilité",BTS/BTSA,Technicien agricole,Piloter,En tension,Traditionnel
Technicien agroécologie,Production agricole,0.55,0.65,0.85,0.85,0.3,0.65,0.65,0.8,"Transition écologique, expertise, autonomie",BTS/BTSA,Technicien agroécologie,Piloter,Normal,Émergent
Technicien agriculture de précision,Production agricole,0.55,0.65,0.65,0.85,0.3,0.65,0.4,0.8,"Innovation, technologie, efficacité",BTS/BTSA,Technicien agri-tech,Piloter,Normal,Émergent
Chef de culture,Production agricole,0.55,0.55,0.65,0.85,0.3,0.65,0.4,0.8,"Leadership, responsabilité, organisation",Bac,Manager production,Piloter,En tension,Traditionnel
Responsable d'exploitation agricole,Production agricole,0.55,0.55,0.65,0.85,0.3,0.65,0.4,0.8,"Autonomie, responsabilité, business",Bac,Entrepreneur agricole,Piloter,Normal,Émergent
Tractoriste / conducteur d'engins,Production agricole,0.85,0.45,0.65,0.95,0.7,0.85,0.65,0.95,"Compétence technique, autonomie, stabilité",CAP/BEP,Conducteur agricole,Produire,En tension,Traditionnel
