Métier,Bloc,Poids_Q1,Poids_Q2,Poids_Q3,Poids_Q4,Poids_Q5,Poids_Q6,Poids_Q7,Poids_Q8,Secteur,Autonomie,Pénurie,Évolution,Compétences,Niveau
Chargé·e de projet agroécologie & AU,Production agricole,0.55,0.8,0.85,0.85,0.3,0.35,0.4,0.8,Chef de projet agroécologie,Piloter,Normal,Émergent,"Transition écologique, impact systémique, coordination",Licence
Conseiller·ère technique agroécologie,Production agricole,0.6,0.65,0.85,0.88,0.25,0.65,0.65,0.8,Conseiller agroécologie,Former,Normal,Émergent,"Expertise technique, autonomie des agriculteurs, innovation",BTS/BTSA
Responsable logistique céréales / chef de silo,Production agricole,0.55,0.65,0.65,0.85,0.3,0.65,0.4,0.8,Manager logistique agricole,Piloter,Normal,Émergent,"Souveraineté alimentaire, responsabilité, organisation",BTS/BTSA
Chargé·e de parcours volontariat agricole,Production agricole,0.6,0.65,0.7,0.88,0.25,0.65,0.9,0.8,Animateur agriculture,Former,Normal,Émergent,"Communauté, accueil, apprentissage",BTS/BTSA
Ouvrier agricole,Production agricole,0.85,0.45,0.65,0.95,0.7,0.85,0.65,0.95,Producteur agricole,Produire,En tension,Traditionnel,"Autonomie, relation au vivant, stabilité financière",CAP/BEP
Maraîcher / maraîcher bio,Production agricole,0.85,0.45,0.85,0.95,0.7,0.85,0.52,0.95,Producteur légumes,Produire,En tension,Traditionnel,"Autonomie, circuits courts, impact local",CAP/BEP
Éleveur,Production agricole,0.85,0.45,0.65,0.95,0.7,0.85,0.52,0.95,Producteur animal,Produire,En tension,Traditionnel,"Relation aux animaux, autonomie, pénibilité acceptée",CAP/BEP
Technicien agricole,Production agricole,0.55,0.65,0.65,0.85,0.3,0.65,0.65,0.8,Technicien agricole,Piloter,En tension,Traditionnel,"Expertise technique, coopération, stabilité",BTS/BTSA
Technicien agroécologie,Production agricole,0.55,0.65,0.85,0.85,0.3,0.65,0.65,0.8,Technicien agroécologie,Piloter,Normal,Émergent,"Transition écologique, expertise, autonomie",BTS/BTSA
Technicien agriculture de précision,Production agricole,0.55,0.65,0.65,0.85,0.3,0.65,0.4,0.8,Technicien agri-tech,Piloter,Normal,Émergent,"Innovation, technologie, efficacité",BTS/BTSA
Chef de culture,Production agricole,0.55,0.55,0.65,0.85,0.3,0.65,0.4,0.8,Manager production,Piloter,En tension,Traditionnel,"Leadership, responsabilité, organisation",Bac
Responsable d'exploitation agricole,Production agricole,0.55,0.55,0.65,0.85,0.3,0.65,0.4,0.8,Entrepreneur agricole,Piloter,Normal,Émergent,"Autonomie, responsabilité, business",Bac
Tractoriste / conducteur d'engins,Production agricole,0.85,0.45,0.65,0.95,0.7,0.85,0.65,0.95,Conducteur agricole,Produire,En tension,Traditionnel,"Compétence technique, autonomie, stabilité",CAP/BEP
Agriculteur urbain / fermier urbain,Production agricole,0.85,0.45,0.7,0.95,0.7,0.85,0.65,0.95,Agriculteur urbain,Produire,Normal,Traditionnel,"Autonomie, innovation, communauté",CAP/BEP
Animateur agriculture urbaine,Production agricole,0.6,0.55,0.7,0.88,0.25,0.65,0.9,0.8,Animateur tiers-lieu,Former,Normal,Émergent,"Communauté, pédagogie, inclusion",Bac
Responsable tiers-lieu agricole,Production agricole,0.55,0.65,0.85,0.85,0.3,0.65,0.4,0.8,Gestionnaire tiers-lieu,Piloter,Normal,Émergent,"Innovation, communauté, leadership",BTS/BTSA
Responsable transition durable IAA,Transformation agroalimentaire,0.55,0.8,0.85,0.85,0.3,0.35,0.4,0.55,Responsable RSE transformation,Piloter,Normal,Émergent,"Transition écologique, innovation, responsabilité",Licence
Opérateur de production agroalimentaire,Transformation agroalimentaire,0.85,0.45,0.85,0.95,0.7,0.85,0.9,0.55,Opérateur production,Produire,En tension,Traditionnel,"Stabilité, compétence technique, qualité",CAP/BEP
Conducteur de ligne,Transformation agroalimentaire,0.85,0.55,0.85,0.95,0.7,0.65,0.9,0.55,Conducteur ligne production,Produire,En tension,Traditionnel,"Responsabilité, qualité, stabilité",Bac
Maintenance industrielle agro,Transformation agroalimentaire,0.55,0.65,0.85,0.85,0.3,0.65,0.4,0.55,Technicien maintenance,Piloter,En tension,Traditionnel,"Expertise technique, responsabilité, stabilité",BTS/BTSA
Data analyst agro/agri,Transformation agroalimentaire,0.55,0.8,0.85,0.9,0.2,0.35,0.4,0.55,Data analyst alimentation,Analyser,Normal,Émergent,"Innovation, impact données, autonomie",Licence
Technicien agroalimentaire,Transformation agroalimentaire,0.55,0.65,0.85,0.85,0.3,0.65,0.4,0.55,Technicien transformation,Piloter,En tension,Traditionnel,"Expertise technique, qualité, innovation",BTS/BTSA
Responsable qualité / QHSE,Transformation agroalimentaire,0.55,0.65,0.85,0.9,0.2,0.65,0.4,0.55,Responsable qualité,Analyser,En tension,Traditionnel,"Responsabilité, excellence, conformité",BTS/BTSA
Responsable production agroalimentaire,Transformation agroalimentaire,0.55,0.8,0.85,0.85,0.3,0.35,0.4,0.55,Manager production IAA,Piloter,En tension,Traditionnel,"Leadership, responsabilité, innovation",Licence
Responsable décarbonation site,Transformation agroalimentaire,0.55,0.8,0.85,0.85,0.3,0.35,0.4,0.55,Responsable décarbonation,Piloter,Normal,Émergent,"Urgence climatique, innovation, leadership",Licence
Responsable sécurité alimentaire,Transformation agroalimentaire,0.55,0.65,0.85,0.9,0.2,0.65,0.4,0.55,Responsable sécurité alimentaire,Analyser,En tension,Traditionnel,"Responsabilité, rigueur, excellence",BTS/BTSA
