Métier,Bloc,Statut,Niveau_MIN,Type métier générique,Thématique formation,Intentions clés,Formations prioritaires,Localisation,Situation,Background min,Relation vivant,Type activité,Rêve
Chargé·e de projet agroécologie & AU,Production agricole,Émergent,6,Chef de projet agroécologie,Agroécologie & gestion du sol,Transition écologique - impact systémique - coordination,Master agro + modules agroécologie Oya,Flexible,Capital,Master,Management,Piloter,Piloter
Conseiller·ère technique agroécologie,Production agricole,Émergent,5,Conseiller agroécologie,Agroécologie & gestion du sol,Expertise technique - autonomie des agriculteurs - innovation,BTSA + spécialisation agroécologie,Flexible,Terrain,BTSA,Plantes,Former,Piloter
Responsable logistique céréales / chef de silo,Production agricole,Émergent,5,Manager logistique agricole,Agroécologie & gestion du sol,Souveraineté alimentaire - responsabilité - organisation,BTS logistique + modules Oya,Campagne,Capital,BTSA,Tech,Piloter,Piloter
Chargé·e de parcours volontariat agricole,Production agricole,Émergent,5,Animateur agriculture,Agriculture urbaine & tiers-lieux,Communauté - accueil - apprentissage - inclusion,Formations animation + modules Oya,Urbain,Zéro,BTSA,Plantes,Former,Former
Ouvrier agricole,Production agricole,Tension,3,Producteur agricole,Agroécologie & gestion du sol,Autonomie - relation au vivant - stabilité financière,CAPa + titres pro agricoles,Campagne,Terrain,CAP,Plantes/Animaux,Produire,Installer
Maraîcher / maraîcher bio,Production agricole,Tension,3,Producteur légumes,Agroécologie & gestion du sol,Autonomie - circuits courts - impact local - santé,CAPa + BPREA + modules agroécologie,Campagne/Flexible,Terrain/Capital,CAP,Plantes,Produire,Installer
Éleveur,Production agricole,Tension,3,Producteur animal,Agroécologie & gestion du sol,Relation aux animaux - autonomie - pénibilité acceptée,CAPa élevage + BPREA,Campagne,Terrain/Capital,CAP,Animaux,Produire,Installer
Technicien agricole,Production agricole,Tension,5,Technicien agricole,Agroécologie & gestion du sol,Expertise technique - coopération - stabilité,BTSA agricole,Campagne,Terrain,BTSA,Plantes/Tech,Piloter,Piloter
Technicien agroécologie,Production agricole,Émergent,5,Technicien agroécologie,Agroécologie & gestion du sol,Transition écologique - expertise - autonomie,BTSA + modules Oya,Campagne/Flexible,Terrain,BTSA,Plantes,Piloter,Piloter
Technicien agriculture de précision,Production agricole,Émergent,5,Technicien agri-tech,Agroécologie & gestion du sol,Innovation - technologie - efficacité - durabilité,BTSA + modules agri-tech,Campagne,Capital,BTSA,Tech,Piloter,Piloter
Chef de culture,Production agricole,Tension,4,Manager production,Agroécologie & gestion du sol,Leadership - responsabilité - organisation - rendement,BPREA + BTSA,Campagne,Capital,BTSA,Plantes,Piloter,Installer
Responsable d'exploitation agricole,Production agricole,Émergent,4,Entrepreneur agricole,Agroécologie & gestion du sol,Autonomie - responsabilité - business - transition,BPREA,Campagne,Capital,BTSA,Plantes/Tech,Piloter,Installer
Tractoriste / conducteur d'engins,Production agricole,Tension,3,Conducteur agricole,Agroécologie & gestion du sol,Compétence technique - autonomie - stabilité,CAPa,Campagne,Terrain,CAP,Tech,Produire,Installer
Agriculteur urbain / fermier urbain,Production agricole,Autre,3,Agriculteur urbain,Agriculture urbaine & tiers-lieux,Autonomie - innovation - communauté - impact local,CAPa + modules agriculture urbaine Oya,Urbain,Zéro/Capital,CAP,Plantes,Produire,Installer
Animateur agriculture urbaine,Production agricole,Émergent,4,Animateur tiers-lieu,Agriculture urbaine & tiers-lieux,Communauté - pédagogie - inclusion - transformation sociale,Formations animation + modules Oya,Urbain,Zéro,BTSA,Plantes,Former,Former
Responsable tiers-lieu agricole,Production agricole,Émergent,5,Gestionnaire tiers-lieu,Agriculture urbaine & tiers-lieux,Innovation - communauté - leadership - impact territorial,Gestion projet + modules Oya,Urbain/Flexible,Capital,BTSA,Management/Plantes,Piloter,Piloter
Responsable transition durable IAA,Transformation agroalimentaire,Émergent,6,Responsable RSE transformation,Transformation locale & écoconception,Transition écologique - innovation - responsabilité - impact systémique,Master RSE + modules écoconception Oya,Flexible,Capital,Master,Management,Piloter,Piloter
Opérateur de production agroalimentaire,Transformation agroalimentaire,Tension,3,Opérateur production,Transformation locale & écoconception,Stabilité - compétence technique - qualité,CAP/BEP agroalimentaire + hygiène,Flexible,Zéro,CAP,Tech,Produire,Installer
Conducteur de ligne,Transformation agroalimentaire,Tension,4,Conducteur ligne production,Transformation locale & écoconception,Responsabilité - qualité - stabilité - rigueur,Bac pro + titres pro,Flexible,Zéro,BTSA,Tech,Produire,Piloter
Maintenance industrielle agro,Transformation agroalimentaire,Tension,5,Technicien maintenance,Transformation locale & écoconception,Expertise technique - responsabilité - stabilité,BTS maintenance industrielle,Flexible,Capital,BTSA,Tech,Piloter,Piloter
Data analyst agro/agri,Transformation agroalimentaire,Émergent,6,Data analyst alimentation,Transformation locale & écoconception,Innovation - impact données - autonomie - stratégie,Master data + modules Oya,Flexible,Capital,Master,Tech,Analyser,Piloter
Technicien agroalimentaire,Transformation agroalimentaire,Tension,5,Technicien transformation,Transformation locale & écoconception,Expertise technique - qualité - innovation,BTSA STA,Flexible,Capital,BTSA,Tech/Plantes,Piloter,Piloter
Responsable qualité / QHSE,Transformation agroalimentaire,Tension,5,Responsable qualité,Transformation locale & écoconception,Responsabilité - excellence - conformité - impact,BTS QHSE + Master qualité,Flexible,Capital,BTSA,Tech,Analyser,Piloter
Responsable production agroalimentaire,Transformation agroalimentaire,Tension,6,Manager production IAA,Transformation locale & écoconception,Leadership - responsabilité - innovation - excellence,BTSA + école ingénieur,Flexible,Capital,Master,Management,Piloter,Piloter
Responsable décarbonation site,Transformation agroalimentaire,Émergent,6,Responsable décarbonation,Transition énergétique & bas-carbone,Urgence climatique - innovation - leadership - impact,Master énergie + modules Oya,Flexible,Capital,Master,Tech,Piloter,Piloter
Responsable sécurité alimentaire,Transformation agroalimentaire,Tension,5,Responsable sécurité alimentaire,Transformation locale & écoconception,Responsabilité - rigueur - excellence - santé publique,BTSA + QHSE,Flexible,Capital,BTSA,Tech,Analyser,Piloter
